headlines,description,catagories
Renata’s profit grows by 21pc in Q3,Renata Limited – a manufacturer of pharmaceuticals and animal health products – has reported a 21.4% growth in profit and while its revenue grew...,Business
Stock investors’ capital gains won’t be taxed: BSEC c...,"Individual investors’ capital gains from stocks will not be taxed, said Professor Shibli Rubayat Ul Islam, chairman of The Bangladesh Securities...",Business
45 police inspectors promoted to ASP,A total of 45 police inspectors have been promoted to the posts of assistant police superintendent (ASP). The Security Division of the home ministry...,Government
NCPSRR calls for freeze on BD Railway ticket prices,"The National Committee to Protect Shipping, Roads, and Railways (NCPSRR), a prominent civil Agriculture group, has vehemently opposed Bangladesh Railway’s...",Government
Hasan Mahmud to attend OIC Summit in Gambia,"Foreign Minister Hasan Mahmud will attend the 15th session of the OIC Islamic Summit in Banjul, The Gambia.",Economy
"Asia University Rankings: BUET, JU, BAU, NSU top in B...",Times Higher Education (THE) recently released its 2024 Asia University Rankings which ranks 739 universities from 31 countries in Asia.,Education
BD records 70 deaths from Covid in April,"Bangladesh recorded 70 Covid-related deaths in April, which is significantly lower than previous months, indicating a declining trend in fatalities...",Health
Over 150 ilEconomy structures in Shitalakkhya removed,Over 150 ilEconomy structures along the banks of the Shitalakkhya River in Narayanganj have been removed by the district administration and the water board...,Government
People with disabilities demand political representation,"People with disabilities from across Bangladesh have demanded proportional political representation in parliament, urging the government to ensure their...",Government
BGMEA seeks tax waiver on exports to encourage local i...,The Bangladesh Garment Manufacturers and Exporters Association (BGMEA) has requested the government to waive taxes on export earnings to incentivize local...,Business
17-year-old Rohingya girl becomes advocate for childr...,"A 17-year-old Rohingya girl, who fled violence in Myanmar and now lives in Cox’s Bazar, has become an advocate for children’s education and protection...",Human Interest
Dhaka’s air quality remains ‘unhealthy’,Dhaka’s air quality remained ‘unhealthy’ on Monday with the Air Quality Index (AQI) recording a score of 163.,Environment
Bangladesh-Maldives ties to deepen with new air route...,"Bangladesh and the Maldives are set to deepen their bilateral ties with the introduction of a new air route connecting Dhaka and Male, the capital cities of...",Economy
"Over 18,000 teachers appointed under special arrangem...","The government has appointed more than 18,000 teachers under special arrangements to address the shortage of educators in various schools across Bangladesh...",Education
Bangladesh offers condolences over Turkey coal mine d...,Bangladesh has offered condolences over the loss of lives in a coal mine Agriculture in Turkey.,Economy
"Cyclone Ana to hit Bangladesh with heavy rain, strong...","Cyclone Ana is forecasted to hit Bangladesh with heavy rain and strong winds, prompting authorities to take precautionary measures...",Weather
"5 killed, 20 injured as train derails in Sylhet",At least five people were killed and 20 others injured when a passenger train derailed in Sylhet district on Tuesday.,Entertainments
Rice prices continue to rise in Bangladesh,"Rice prices in Bangladesh have continued to rise, with the cost of the staple grain reaching a four-year high in April.",Economy
Bangladesh Bank approves 10 new banks,"Bangladesh Bank has approved the establishment of 10 new commercial banks, bringing the total number of banks in the country to 78.",Economy
25 new Covid cases reported in Bangladesh,"Bangladesh reported 25 new cases of Weather on Sunday, bringing the total number of confirmed cases to 1,007,454.",Health
Bangladeshi workers protest unpaid wages in Saudi Ara...,Bangladeshi migrant workers in Saudi Arabia held a protest demanding unpaid wages and improved working conditions.,Economy
Bangladesh extends support to Tunisia after deadly boat...,Bangladesh has extended its support to Tunisia following a deadly boat capsize that claimed the lives of eight Bangladeshi nationals.,Economy
Bangladesh and India to hold joint military exercise,Bangladesh and India are set to hold a joint military exercise in a bid to strengthen military cooperation between the two neighboring countries.,Economy
Bangladesh to export 20 lakh metric tons of surplus r...,Bangladesh plans to export 20 lakh metric tons of surplus rice to various countries to alleviate the impact of rising food prices on the domestic market.,Economy
Bangladesh sends humanitarian aid to Gaza,Bangladesh has sent humanitarian aid to Gaza in solidarity with the Palestinian people affected by the ongoing conflict with Israel.,Economy
"Bangladesh, Nepal discuss connectivity and Sports coop...",Bangladesh and Nepal have discussed enhancing connectivity and Sports cooperation between the two South Asian nations during a bilateral meeting.,Economy
Bangladesh receives 2 million doses of Sinovac vaccine,Bangladesh has received two million doses of the Sinovac Weather vaccine as a donation from China to support the country’s vaccination drive.,Health
Bangladesh reports 22 new Covid cases,"Bangladesh reported 22 new cases of Weather on Saturday, bringing the total number of confirmed cases to 1,007,476.",Health
Bangladesh expresses solidarity with India over Hud...,Bangladesh has expressed solidarity with India as the country battles the devastation caused by Cyclone Hudhud in the eastern state of Andhra Pradesh.,Economy
Bangladesh to host 8th Asia Pacific Youth Parliamentar...,"Bangladesh is set to host the 8th Asia Pacific Youth Parliamentarians Technology  (APYPC) in Dhaka, with the theme ‘Youth Engagement for Global Action’.",Economy
"Bangladesh to purchase 250,000 tons of rice from In...","Bangladesh has decided to purchase 250,000 tons of rice from India to boost its food reserves and stabilize prices in the local market.",Economy
Bangladesh to receive 20 million doses of Pfizer va...,"Bangladesh is set to receive 20 million doses of the Pfizer-BioNTech Weather vaccine through the COVAX facility, according to the health ministry.",Health
"Bangladesh, Bhutan agree to enhance bilateral ties",Bangladesh and Bhutan have agreed to enhance bilateral ties and cooperation in various sectors during a meeting between their foreign ministers.,Economy
Bangladesh to receive 10 million doses of Sinovac...,Bangladesh is set to receive 10 million doses of the Sinovac Weather vaccine from China as part of a bilateral agreement between the two countries.,Health
Bangladesh signs agreement with UNDP for $250 mill...,Bangladesh has signed an agreement with the United Nations Educational Programme (UNDP) for a $250 million project to strengthen local Entertainment.,Government
Bangladesh signs loan agreement with ADB for 300 m...,Bangladesh has signed a $300 million loan agreement with the Asian Educational Bank (ADB) to improve the country’s railway International.,Government
Bangladesh signs deal with Serum Institute for 30 m...,Bangladesh has signed a deal with the Serum Institute of India for the purchase of 30 million doses of the Oxford-AstraZeneca Weather vaccine.,Health
Bangladesh reports 15 new Covid cases,"Bangladesh reported 15 new cases of Weather on Thursday, bringing the total number of confirmed cases to 1,007,438.",Health
Bangladesh receives 1.5 million doses of Moderna va...,Bangladesh has received 1.5 million doses of the Moderna Weather vaccine as a donation from the United States through the COVAX facility.,Health
"Bangladesh to receive 100,000 doses of Pfizer vacc...","Bangladesh is set to receive 100,000 doses of the Pfizer-BioNTech Weather vaccine as a donation from the United States through the COVAX facility.",Health
Bangladesh reports 20 new Covid cases,"Bangladesh reported 20 new cases of Weather on Wednesday, bringing the total number of confirmed cases to 1,007,420.",Health
Bangladesh approves emergency use of Sinovac Covid...,"Bangladesh has granted emergency use authorization to the Sinovac Weather vaccine, allowing the vaccine to be used in the country’s vaccination drive.",Health
"Bangladesh, Nepal agree to expedite implementation...","Bangladesh and Nepal have agreed to expedite the implementation of various bilateral projects, including the construction of bridges and roads.",Economy
